id,owner,created,modified,title,type,description,tags,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,source,extent,industries
e5004d18034e41e192e89e03601d4c17,hnam-gis,2025-04-07 14:11:04,2026-03-05 14:51:28,Code Violations,Web Experience,Update Frequency: Continuously updated,"Developers,Economic and Community Development",This interactive application shows the locations of code violations throughout the city.,/Categories/City Services,Placer.ai,,en-us,https://experience.arcgis.com/experience/e5004d18034e41e192e89e03601d4c17,public,,City of Montgomery ArcGIS Online,"-130.8333,-89,-85.9294,32.5021",
0dcb0a26743442168f36c38e3e020300,njacks13,2019-03-11 21:16:43,2026-03-03 20:49:56,Downtown Multi-Permit Projects,Web Mapping Application,This web app shows the top 19 highest-value multi-permit projects within downtown in the City of Montgomery.,"Story Map,Economic and Community Development,Developers,Residents",The nineteen highest-value multi-permit projects in downtown Montgomery.,/Categories/Planning and Development,Placer.ai,,en-us,https://citymgm.maps.arcgis.com/apps/MapTour/index.html?appid=0dcb0a26743442168f36c38e3e020300,public,,City of Montgomery ArcGIS Online,"-86.3184,32.3721,-86.2948,32.3823",
81bb064ad1ab46fa967cd2b1e2de472f,njacks13,2022-03-24 15:02:07,2026-02-24 16:46:19,2020 Census Result,Web Mapping Application,Update Frequency: Continuously updated,"2020 Census,City of Montgomery,Montgomery County","This application provides demographic and housing data from the U.S. Census Bureau’s 2020 Census, including total population counts by sex, age, and race for Montgomery County and the City of Montgomery.",/Categories/Planning and Development,Placer.ai,,en-us,https://citymgm.maps.arcgis.com/apps/webappviewer/index.html?id=81bb064ad1ab46fa967cd2b1e2de472f,public,,City of Montgomery ArcGIS Online,"-130.8333,-89,-85.9294,32.5021",
9795847bdaa241f9b6856e89ed663176,njacks13,2025-02-25 22:23:54,2026-02-23 22:27:45,Paving Project,Web Experience,Update Frequency: Continuously Updated,"Public Works,Street Maintenance Department,Residents","This interactive application offers essential insights into the city's current pavement conditions, potential paving candidates, and historical paving data.",/Categories/Transportation,Placer.ai,,en-us,https://experience.arcgis.com/experience/9795847bdaa241f9b6856e89ed663176,public,,City of Montgomery ArcGIS Online,"-130.8333,-89,-85.9294,32.5021",
23e084994f4d48d4ba8e7428d30e1d9d,hnam-gis,2025-12-19 14:28:37,2026-02-18 22:16:31,Historical Marker,Web Experience,Update Frequency: Continuously updated,"ExB,exb template,experience builder,template,museum,Title,Banner,Logo,Card,View,Navigation,Section,Embed,Map,List,Gallery,Share,Link,Divider,Bookmark,Slides,Window,Splash window","A list of the most visited locations in Montgomery over the past month, including addresses, number of visits, and location category.",/Categories/Planning and Development,Placer.ai,,en-us,https://experience.arcgis.com/experience/23e084994f4d48d4ba8e7428d30e1d9d,public,,City of Montgomery ArcGIS Online,"-130.8333,-89,-85.9294,32.5021",
7afe1129ef9d40398fb888c769c93b72,njacks13,2025-08-06 12:51:53,2026-02-10 17:34:56,Montgomery Fire Rescue,Web Experience,"Update Frequency: Continuously updated Usage: This tool is valuable for residents, researchers, and public safety officials seeking to understand fire response trends. It supports emergency planning, resource allocation, and community safety initiatives.","Fire/Rescue Department,Residents","This interactive application provides access to fire rescue data within the City of Montgomery, offering insights into emergency response times, incident locations and types, and service coverage.",/Categories/Public Safety,Placer.ai,,en-us,https://experience.arcgis.com/experience/7afe1129ef9d40398fb888c769c93b72,public,,City of Montgomery ArcGIS Online,"-130.8333,-89,-85.9294,32.5021",
3b6888b911174bd28c746c737b4006ac,hnam-gis,2025-01-30 20:19:19,2026-02-10 15:32:48,Fire and Police Station,Feature Service,Update Frequency: Continuously updated,"Fire/Rescue Department,Montgomery Police Department,Residents",This dataset shows all of the fire and police stations across the City of Montgomery.,/Categories/Transportation,Placer.ai,,en-us,https://services7.arcgis.com/xNUwUjOJqYE54USz/arcgis/rest/services/Story_Map___Live__1__WFL1/FeatureServer,public,,City of Montgomery ArcGIS Online,"-86.42372306202795,32.30842945121743,-86.14348150938807,32.41320639203962",
a140321472c746ea865a234085cfbf8e,njacks13,2025-12-15 20:29:43,2025-12-15 20:30:07,City Limit,Feature Service,Update Frequency: Continuously updated,"Montgomery Alabama,City of Montgomery,City Limit","This dataset represents the official boundary of the City of Montgomery, Alabama.",/Categories/General Information,Placer.ai,,en-us,https://gis.montgomeryal.gov/server/rest/services/HostedDatasets/City_Limit/MapServer/0,public,,City of Montgomery ArcGIS Online,"-86.4459,32.2067,-86.0691,32.482",
ddfebc6549484dadb969c477e46f7448,hnam-gis,2025-02-28 13:55:01,2025-12-15 14:55:09,Food Scores,Web Experience,"Update Frequency: Continuously updated Usage: This tool is valuable for residents, business owners, and health officials seeking to monitor food safety standards. It supports public health, consumer awareness, and regulatory compliance.","Montgomery County Health Department,Residents","This interactive application provides health inspection scores for restaurants and food establishments across the City of Montgomery, ensuring transparency in food safety.

",/Categories/Public Health,Placer.ai,,en-us,https://experience.arcgis.com/experience/ddfebc6549484dadb969c477e46f7448,public,,City of Montgomery ArcGIS Online,"-130.8333,-89,-85.9294,32.5021",
e9c926feae0444cc88d83a378e7526b9,hnam-gis,2025-02-28 13:45:34,2025-12-15 14:44:43,Food Scores,Feature Service,"Update Frequency: Continuously updated Usage: This dataset is useful for residents, business owners, and researchers to track food safety compliance, identify trends in inspection results, and promote transparency in public health regulations.","Residents,Visitors,Montgomery County Health Department",This dataset provides food inspection scores for establishments within the City of Montgomery. It includes ratings assigned based on health and safety inspections conducted by regulatory authorities. The dataset helps monitor food safety standards and ensures compliance with public health regulations.,/Categories/Transportation,Placer.ai,,en-us,https://services7.arcgis.com/xNUwUjOJqYE54USz/arcgis/rest/services/Food_Scoring/FeatureServer,public,,City of Montgomery ArcGIS Online,"-86.4533354494993,31.31845429824031,-85.57239123580365,32.45376110704274",
